日時,プロダクト名,問題,X座標,Y座標
20250524164819,ザク表,汚れ,87,92
20250524164819,ザク表,汚れ,89,83
20250524164819,ザク表,汚れ,85,79
20250524164819,ザク表,汚れ,93,82
20250524164819,ザク表,汚れ,71,26
20250524164819,ザク表,汚れ,119,113
20250524164819,ザク表,汚れ,127,112
20250524164819,ザク表,汚れ,132,117
20250524164819,ザク表,汚れ,134,114
20250524164819,ザク表,汚れ,139,112
20250524164819,ザク表,汚れ,142,108
20250524164819,ザク表,汚れ,145,106
20250524164819,ザク表,汚れ,283,123
20250524164819,ザク表,汚れ,295,122
20250524164819,ザク表,汚れ,296,123
20250524164819,ザク表,汚れ,283,126
20250524164819,ザク表,汚れ,251,126
20250524164819,ザク表,汚れ,257,123
20250524164819,ザク表,汚れ,249,126
20250524164819,ザク表,汚れ,248,126
20250524164819,ザク表,汚れ,256,122
20250524164819,ザク表,汚れ,253,122
20250524164819,ザク表,汚れ,251,122
20250524164819,ザク表,汚れ,249,122
20250524164819,ザク表,汚れ,247,122
20250524164819,ザク表,汚れ,245,126
20250524164819,ザク表,汚れ,242,127
20250524164819,ザク表,汚れ,243,63
20250524164819,ザク表,汚れ,245,74
20250524164819,ザク表,汚れ,238,72
20250524164819,ザク表,汚れ,197,50
20250524164819,ザク表,汚れ,191,55
20250524164819,ザク表,汚れ,286,26